"Provisional weekly death counts, by age group and sex c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"
"Frequency: Weekly"
"Table: 13-10-0768-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Age at time of death","Age at time of death, all ages 18",,
,"Sex","Both sexes 19","Males","Females"
,"Characteristics 17","Number of deaths","Number of deaths","Number of deaths"
"Geography, place of occurrence 16","Reference period"
,,"Number",,
,"April 8, 2017","100","50","55"
,"April 15, 2017","105","55","55"
,"April 22, 2017","130","65","60"
,"April 29, 2017","110","60","45"
,"May 6, 2017","105","55","50"
,"May 13, 2017","90","45","40"
,"May 20, 2017","110","55","55"
,"May 27, 2017","95","55","40"
,"June 3, 2017","120","60","60"
,"June 10, 2017","80","40","40"
,"June 17, 2017","90","55","35"
,"June 24, 2017","80","35","40"
,"July 1, 2017","85","35","45"
,"July 8, 2017","100","50","50"
,"July 15, 2017","90","50","45"
,"July 22, 2017","85","55","35"
,"July 29, 2017","85","45","40"
,"August 5, 2017","90","55","35"
,"August 12, 2017","90","55","40"
,"August 19, 2017","80","40","40"
,"August 26, 2017","95","50","45"
,"September 2, 2017","90","40","50"
,"September 9, 2017","70","45","25"
,"September 16, 2017","95","50","45"
,"September 23, 2017","80","40","40"
,"September 30, 2017","75","40","35"
,"October 7, 2017","95","55","40"
,"October 14, 2017","85","50","40"
,"October 21, 2017","105","60","45"
,"October 28, 2017","95","55","45"
,"November 4, 2017","95","50","50"
,"November 11, 2017","95","60","35"
,"November 18, 2017","95","55","45"
,"November 25, 2017","95","40","50"
,"December 2, 2017","110","60","45"
,"December 9, 2017","95","50","45"
,"December 16, 2017","100","60","45"
,"December 23, 2017","100","55","45"
,"December 30, 2017","105","55","55"
,"January 6, 2018","120","55","65"
,"January 13, 2018","110","55","60"
,"January 20, 2018","110","50","65"
,"January 27, 2018","100","50","50"
,"February 3, 2018","100","55","45"
,"February 10, 2018","95","55","45"
,"February 17, 2018","105","55","50"
,"February 24, 2018","110","50","60"
,"March 3, 2018","95","50","45"
,"March 10, 2018","120","60","65"
,"March 17, 2018","130","70","60"
,"March 24, 2018","120","65","55"
,"March 31, 2018","120","65","55"
,"April 7, 2018","110","50","55"
,"April 14, 2018","115","55","60"
,"April 21, 2018","105","45","60"
,"April 28, 2018","90","50","40"
,"May 5, 2018","100","50","50"
,"May 12, 2018","110","65","40"
,"May 19, 2018","70","45","30"
,"May 26, 2018","100","50","50"
,"June 2, 2018","105","45","55"
,"June 9, 2018","75","40","25"
,"June 16, 2018","95","55","40"
,"June 23, 2018","100","55","40"
,"June 30, 2018","105","55","45"
,"July 7, 2018","75","40","35"
,"July 14, 2018","95","55","35"
,"July 21, 2018","70","30","35"
,"July 28, 2018","90","55","40"
,"August 4, 2018","100","55","45"
,"August 11, 2018","105","55","50"
,"August 18, 2018","75","45","35"
,"August 25, 2018","90","45","50"
,"September 1, 2018","90","50","40"
,"September 8, 2018","105","60","45"
,"September 15, 2018","90","50","45"
,"September 22, 2018","85","45","40"
,"September 29, 2018","90","45","50"
,"October 6, 2018","95","35","55"
,"October 13, 2018","90","45","45"
,"October 20, 2018","115","60","50"
,"October 27, 2018","105","50","60"
,"November 3, 2018","90","45","45"
,"November 10, 2018","100","40","60"
,"November 17, 2018","105","55","50"
,"November 24, 2018","115","60","55"
,"December 1, 2018","110","60","50"
,"December 8, 2018","115","50","65"
,"December 15, 2018","105","50","60"
,"December 22, 2018","115","50","65"
,"December 29, 2018","100","55","50"
,"January 5, 2019","100","50","45"
,"January 12, 2019","120","65","60"
,"January 19, 2019","115","50","65"
,"January 26, 2019","115","65","50"
,"February 2, 2019","100","45","55"
,"February 9, 2019","90","55","35"
,"February 16, 2019","105","60","45"
,"February 23, 2019","95","55","45"
,"March 2, 2019","105","55","50"
,"March 9, 2019","105","50","55"
,"March 16, 2019","100","55","50"
,"March 23, 2019","90","45","50"
,"March 30, 2019","100","45","50"
,"April 6, 2019","100","55","45"
,"April 13, 2019","95","45","45"
,"April 20, 2019","120","65","55"
,"April 27, 2019","125","60","65"
,"May 4, 2019","95","40","55"
,"May 11, 2019","90","50","45"
,"May 18, 2019","100","60","35"
,"May 25, 2019","95","55","35"
,"June 1, 2019","100","50","45"
,"June 8, 2019","90","45","40"
,"June 15, 2019","100","55","45"
,"June 22, 2019","105","55","55"
,"June 29, 2019","85","40","50"
,"July 6, 2019","110","65","40"
,"July 13, 2019","85","35","45"
,"July 20, 2019","90","50","40"
,"July 27, 2019","95","45","50"
,"August 3, 2019","95","40","50"
,"August 10, 2019","85","45","35"
,"August 17, 2019","85","45","40"
,"August 24, 2019","95","50","40"
,"August 31, 2019","95","55","45"
,"September 7, 2019","95","45","50"
,"September 14, 2019","110","55","50"
,"September 21, 2019","110","60","50"
,"September 28, 2019","110","60","50"
,"October 5, 2019","90","55","35"
,"October 12, 2019","75","40","35"
,"October 19, 2019","110","50","55"
,"October 26, 2019","105","55","45"
,"November 2, 2019","110","60","50"
,"November 9, 2019","110","60","50"
,"November 16, 2019","115","65","50"
,"November 23, 2019","95","55","40"
,"November 30, 2019","110","65","45"
,"December 7, 2019","95","55","40"
,"December 14, 2019","105","65","50"
,"December 21, 2019","110","65","45"
,"December 28, 2019","95","55","45"
,"January 4, 2020","105","65","45"
,"January 11, 2020","120","60","55"
,"January 18, 2020","105","60","50"
,"January 25, 2020","105","65","45"
,"February 1, 2020","120","50","75"
,"February 8, 2020","120","70","55"
,"February 15, 2020","130","70","60"
,"February 22, 2020","90","40","50"
,"February 29, 2020","115","65","50"
,"March 7, 2020","130","70","55"
,"March 14, 2020","95","40","50"
,"March 21, 2020","100","50","50"
,"March 28, 2020","90","40","45"
,"April 4, 2020","90","50","45"
,"April 11, 2020","115","60","55"
,"April 18, 2020","110","60","55"
,"April 25, 2020","100","55","45"
,"May 2, 2020","90","45","50"
,"May 9, 2020","95","50","50"
,"May 16, 2020","110","50","60"
,"May 23, 2020","120","60","55"
,"May 30, 2020","95","45","55"
,"June 6, 2020","95","45","45"
,"June 13, 2020","105","65","40"
,"June 20, 2020","95","45","50"
,"June 27, 2020","95","50","45"
,"July 4, 2020","110","60","50"
,"July 11, 2020","85","55","30"
,"July 18, 2020","110","70","45"
,"July 25, 2020","120","60","60"
,"August 1, 2020","100","55","40"
,"August 8, 2020","80","50","35"
,"August 15, 2020","85","45","35"
,"August 22, 2020","100","45","50"
,"August 29, 2020","95","50","40"
,"September 5, 2020","105","50","55"
,"September 12, 2020","95","50","45"
,"September 19, 2020","95","50","50"
,"September 26, 2020","100","55","50"
,"October 3, 2020","90","50","40"
,"October 10, 2020","105","60","45"
,"October 17, 2020","115","65","50"
,"October 24, 2020","105","55","45"
,"October 31, 2020","100","60","45"
,"November 7, 2020","90","45","50"
,"November 14, 2020","90","50","40"
,"November 21, 2020","120","65","55"
,"November 28, 2020","105","45","50"
,"December 5, 2020","105","60","50"
,"December 12, 2020","95","40","55"
,"December 19, 2020","125","70","55"
,"December 26, 2020","75","40","40"
,"January 2, 2021","130","70","60"
,"January 9, 2021","110","55","55"
,"January 16, 2021","140","75","70"
,"January 23, 2021","110","50","60"
,"January 30, 2021","125","65","55"
,"February 6, 2021","100","55","50"
,"February 13, 2021","115","60","50"
,"February 20, 2021","105","55","50"
,"February 27, 2021","110","60","50"
,"March 6, 2021","110","50","60"
,"March 13, 2021","115","60","50"
,"March 20, 2021","100","65","40"
,"March 27, 2021","100","50","50"
,"April 3, 2021","115","55","60"
,"April 10, 2021","110","55","55"
,"April 17, 2021","100","60","45"
,"April 24, 2021","105","55","55"
,"May 1, 2021","105","60","50"
,"May 8, 2021","100","60","40"
,"May 15, 2021","75","45","35"
,"May 22, 2021","105","50","55"
,"May 29, 2021","90","45","50"
,"June 5, 2021","110","55","55"
,"June 12, 2021","85","50","40"
,"June 19, 2021","115","55","60"
,"June 26, 2021","115","60","55"
,"July 3, 2021","115","65","50"
,"July 10, 2021","110","55","60"
,"July 17, 2021","105","60","45"
,"July 24, 2021","105","50","50"
,"July 31, 2021","110","55","55"
,"August 7, 2021","115","65","45"
,"August 14, 2021","130","65","60"
,"August 21, 2021","105","50","55"
,"August 28, 2021","115","60","55"
,"September 4, 2021","115","55","55"
,"September 11, 2021","115","60","50"
,"September 18, 2021","100","50","50"
,"September 25, 2021","125","65","60"
,"October 2, 2021","125","75","55"
,"October 9, 2021","125","60","65"
,"October 16, 2021","100","50","50"
,"October 23, 2021","125","65","55"
,"October 30, 2021","125","70","55"
,"November 6, 2021","130","65","65"
,"November 13, 2021","125","65","60"
,"November 20, 2021","130","55","70"
,"November 27, 2021","110","60","45"
,"December 4, 2021","110","40","70"
,"December 11, 2021","130","65","60"
,"December 18, 2021","155","95","60"
,"December 25, 2021","125","70","55"
,"January 1, 2022","110","55","55"
,"January 8, 2022","115","55","55"
,"January 15, 2022","150","80","70"
