"Provisional weekly death counts, by selected grouped causes of death c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20"
"Frequency: Weekly"
"Table: 13-10-0810-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Cause of death (ICD-10)  3 4 5 6 13 14 15 16 17 18 19","Intentional self-harm (suicide)"
,"Characteristics 22","Number of deaths"
"Geography, place of occurrence 21","Reference period"
,,"Number"
,"November 3, 2018","95"
,"November 10, 2018","85"
,"November 17, 2018","75"
,"November 24, 2018","65"
,"December 1, 2018","95"
,"December 8, 2018","80"
,"December 15, 2018","80"
,"December 22, 2018","85"
,"December 29, 2018","75"
,"January 5, 2019","95"
,"January 12, 2019","85"
,"January 19, 2019","80"
,"January 26, 2019","70"
,"February 2, 2019","70"
,"February 9, 2019","75"
,"February 16, 2019","65"
,"February 23, 2019","95"
,"March 2, 2019","100"
,"March 9, 2019","100"
,"March 16, 2019","85"
,"March 23, 2019","95"
,"March 30, 2019","75"
,"April 6, 2019","115"
,"April 13, 2019","85"
,"April 20, 2019","95"
,"April 27, 2019","85"
,"May 4, 2019","90"
,"May 11, 2019","90"
,"May 18, 2019","95"
,"May 25, 2019","105"
,"June 1, 2019","105"
,"June 8, 2019","85"
,"June 15, 2019","90"
,"June 22, 2019","75"
,"June 29, 2019","70"
,"July 6, 2019","95"
,"July 13, 2019","90"
,"July 20, 2019","95"
,"July 27, 2019","75"
,"August 3, 2019","85"
,"August 10, 2019","85"
,"August 17, 2019","90"
,"August 24, 2019","80"
,"August 31, 2019","70"
,"September 7, 2019","85"
,"September 14, 2019","85"
,"September 21, 2019","85"
,"September 28, 2019","90"
,"October 5, 2019","100"
,"October 12, 2019","80"
,"October 19, 2019","80"
,"October 26, 2019","80"
,"November 2, 2019","100"
,"November 9, 2019","90"
,"November 16, 2019","80"
,"November 23, 2019","80"
,"November 30, 2019","85"
,"December 7, 2019","90"
,"December 14, 2019","95"
,"December 21, 2019","80"
,"December 28, 2019","80"
,"January 4, 2020","80"
,"January 11, 2020","65"
,"January 18, 2020","85"
,"January 25, 2020","105"
,"February 1, 2020","85"
,"February 8, 2020","80"
,"February 15, 2020","75"
,"February 22, 2020","75"
,"February 29, 2020","80"
,"March 7, 2020","80"
,"March 14, 2020","85"
,"March 21, 2020","70"
,"March 28, 2020","65"
,"April 4, 2020","85"
,"April 11, 2020","70"
,"April 18, 2020","65"
,"April 25, 2020","55"
,"May 2, 2020","60"
,"May 9, 2020","85"
,"May 16, 2020","55"
,"May 23, 2020","85"
,"May 30, 2020","80"
,"June 6, 2020","75"
,"June 13, 2020","75"
,"June 20, 2020","90"
,"June 27, 2020","85"
,"July 4, 2020","80"
,"July 11, 2020","75"
,"July 18, 2020","80"
,"July 25, 2020","75"
,"August 1, 2020","80"
,"August 8, 2020","75"
,"August 15, 2020","80"
,"August 22, 2020","90"
,"August 29, 2020","80"
,"September 5, 2020","75"
,"September 12, 2020","80"
,"September 19, 2020","80"
,"September 26, 2020","65"
,"October 3, 2020","75"
,"October 10, 2020","75"
,"October 17, 2020","70"
,"October 24, 2020","75"
,"October 31, 2020","60"
,"November 7, 2020","65"
,"November 14, 2020","60"
,"November 21, 2020","55"
,"November 28, 2020","70"
,"December 5, 2020","85"
,"December 12, 2020","55"
,"December 19, 2020","45"
,"December 26, 2020","50"
,"January 2, 2021","60"
,"January 9, 2021","70"
,"January 16, 2021","50"
,"January 23, 2021","75"
,"January 30, 2021","75"
,"February 6, 2021","80"
,"February 13, 2021","70"
,"February 20, 2021","60"
,"February 27, 2021","60"
,"March 6, 2021","80"
,"March 13, 2021","65"
,"March 20, 2021","80"
,"March 27, 2021","75"
,"April 3, 2021","75"
,"April 10, 2021","75"
,"April 17, 2021","65"
,"April 24, 2021","65"
,"May 1, 2021","85"
,"May 8, 2021","70"
,"May 15, 2021","80"
,"May 22, 2021","80"
,"May 29, 2021","65"
,"June 5, 2021","75"
,"June 12, 2021","70"
,"June 19, 2021","85"
,"June 26, 2021","75"
,"July 3, 2021","50"
,"July 10, 2021","70"
,"July 17, 2021","65"
,"July 24, 2021","45"
,"July 31, 2021","70"
,"August 7, 2021","85"
,"August 14, 2021","75"
,"August 21, 2021","75"
,"August 28, 2021","85"
,"September 4, 2021","75"
,"September 11, 2021","70"
,"September 18, 2021","60"
,"September 25, 2021","55"
,"October 2, 2021","75"
,"October 9, 2021","65"
,"October 16, 2021","75"
,"October 23, 2021","75"
,"October 30, 2021","50"
,"November 6, 2021","80"
,"November 13, 2021","70"
,"November 20, 2021","80"
,"November 27, 2021","70"
,"December 4, 2021","60"
,"December 11, 2021","60"
,"December 18, 2021","75"
,"December 25, 2021","70"
,"January 1, 2022","55"
,"January 8, 2022","65"
,"January 15, 2022","50"
,"January 22, 2022","60"
,"January 29, 2022","50"
,"February 5, 2022","40"
,"February 12, 2022","60"
,"February 19, 2022","55"
,"February 26, 2022","55"
,"March 5, 2022","55"
,"March 12, 2022","55"
,"March 19, 2022","50"
,"March 26, 2022","45"
,"April 2, 2022","50"
,"April 9, 2022","50"
,"April 16, 2022","55"
,"April 23, 2022","50"
,"April 30, 2022","55"
,"May 7, 2022","50"
,"May 14, 2022","60"
,"May 21, 2022","65"
,"May 28, 2022","55"
,"June 4, 2022","60"
,"June 11, 2022","55"
,"June 18, 2022","50"
,"June 25, 2022","50"
,"July 2, 2022","55"
,"July 9, 2022","40"
,"July 16, 2022","50"
